"Statistic Label","Region","Type of Animal","Year","UNIT","VALUE"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","1993","000 Head","212.8"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","1994","000 Head","210.3"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","1995","000 Head","205.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","1996","000 Head","222"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","1997","000 Head","229.5"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","1998","000 Head","241.6"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","1999","000 Head","231.8"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","2000","000 Head","204.4"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","2001","000 Head","212.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","2002","000 Head","218.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","2003","000 Head","219.2"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: 1-2 years","2004","000 Head","215.6"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","1991","000 Head","264.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","1992","000 Head","252.6"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","1993","000 Head","258.4"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","1994","000 Head","257.2"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","1995","000 Head","262.5"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","1996","000 Head","284.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","1997","000 Head","295"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","1998","000 Head","299.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","1999","000 Head","272.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","2000","000 Head","263.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","2001","000 Head","283"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","2002","000 Head","278.4"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","2003","000 Head","277.5"
"Number of Livestock in June (1991 - 2004)","Mid-West","Other cattle: under 1 year","2004","000 Head","284"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","1991","000 Head","272.5"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","1992","000 Head","260.1"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","1993","000 Head","258.4"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","1994","000 Head","258.9"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","1995","000 Head","257.3"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","1996","000 Head","260.1"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","1997","000 Head","256.9"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","1998","000 Head","253.2"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","1999","000 Head","250.1"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","2000","000 Head","243.2"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","2001","000 Head","244.4"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","2002","000 Head","240.1"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","2003","000 Head","239.7"
"Number of Livestock in June (1991 - 2004)","South-East","Dairy cows","2004","000 Head","241.5"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","1991","000 Head","103.8"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","1992","000 Head","111.8"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","1993","000 Head","126.4"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","1994","000 Head","132.1"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","1995","000 Head","134"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","1996","000 Head","143.5"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","1997","000 Head","152.4"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","1998","000 Head","157"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","1999","000 Head","155.1"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","2000","000 Head","153.2"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","2001","000 Head","156.5"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","2002","000 Head","151.4"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","2003","000 Head","152.5"
"Number of Livestock in June (1991 - 2004)","South-East","Other cows","2004","000 Head","158.6"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","1991","000 Head","5.7"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","1992","000 Head","6.1"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","1993","000 Head","7"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","1994","000 Head","7.6"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","1995","000 Head","7.9"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","1996","000 Head","8.2"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","1997","000 Head","9"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","1998","000 Head","9.4"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","1999","000 Head","9.4"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","2000","000 Head","9.1"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","2001","000 Head","9.4"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","2002","000 Head","10"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","2003","000 Head","9.9"
"Number of Livestock in June (1991 - 2004)","South-East","Bulls","2004","000 Head","10.2"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","1991","000 Head","183.7"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","1992","000 Head","193.9"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","1993","000 Head","180.7"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","1994","000 Head","179.8"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","1995","000 Head","169.4"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","1996","000 Head","173.5"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","1997","000 Head","162"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","1998","000 Head","158.8"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","1999","000 Head","183.5"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","2000","000 Head","172.1"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","2001","000 Head","166.2"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","2002","000 Head","144"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","2003","000 Head","148.3"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 2 years and over","2004","000 Head","154.8"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","1991","000 Head","326.7"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","1992","000 Head","310"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","1993","000 Head","308"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","1994","000 Head","312.3"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","1995","000 Head","311.3"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","1996","000 Head","322.1"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","1997","000 Head","330.4"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","1998","000 Head","345.6"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","1999","000 Head","334.3"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","2000","000 Head","309.4"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","2001","000 Head","299.9"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","2002","000 Head","308.1"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","2003","000 Head","308.9"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: 1-2 years","2004","000 Head","297.6"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","1991","000 Head","325.2"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","1992","000 Head","315.9"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","1993","000 Head","321.8"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","1994","000 Head","323.9"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","1995","000 Head","322.8"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","1996","000 Head","339"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","1997","000 Head","344.7"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","1998","000 Head","348.5"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","1999","000 Head","324"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","2000","000 Head","319.1"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","2001","000 Head","321.8"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","2002","000 Head","325.5"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","2003","000 Head","280.5"
"Number of Livestock in June (1991 - 2004)","South-East","Other cattle: under 1 year","2004","000 Head","309.3"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","1991","000 Head","429.3"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","1992","000 Head","413.1"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","1993","000 Head","408.9"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","1994","000 Head","407.6"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","1995","000 Head","410"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","1996","000 Head","412.5"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","1997","000 Head","409.5"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","1998","000 Head","402"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","1999","000 Head","393.7"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","2000","000 Head","379.8"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","2001","000 Head","383.7"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","2002","000 Head","375.9"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","2003","000 Head","375.2"
"Number of Livestock in June (1991 - 2004)","South-West","Dairy cows","2004","000 Head","375.3"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","1991","000 Head","105.8"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","1992","000 Head","121.8"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","1993","000 Head","136.8"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","1994","000 Head","140.6"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","1995","000 Head","142.7"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","1996","000 Head","151.9"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","1997","000 Head","163.8"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","1998","000 Head","167.5"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","1999","000 Head","157.8"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","2000","000 Head","153.8"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","2001","000 Head","158.9"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","2002","000 Head","148.6"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","2003","000 Head","149.9"
"Number of Livestock in June (1991 - 2004)","South-West","Other cows","2004","000 Head","153.3"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","1991","000 Head","8.9"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","1992","000 Head","9.6"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","1993","000 Head","10.8"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","1994","000 Head","11.4"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","1995","000 Head","11.9"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","1996","000 Head","12.8"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","1997","000 Head","13.5"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","1998","000 Head","14.1"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","1999","000 Head","13.9"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","2000","000 Head","13.2"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","2001","000 Head","13.8"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","2002","000 Head","14.5"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","2003","000 Head","14.7"
"Number of Livestock in June (1991 - 2004)","South-West","Bulls","2004","000 Head","14.5"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","1991","000 Head","144"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","1992","000 Head","152.7"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","1993","000 Head","136.6"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","1994","000 Head","136.4"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","1995","000 Head","130.5"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","1996","000 Head","135.4"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","1997","000 Head","135"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","1998","000 Head","139.1"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","1999","000 Head","154.3"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","2000","000 Head","136.7"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","2001","000 Head","128.3"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","2002","000 Head","116.7"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","2003","000 Head","129"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 2 years and over","2004","000 Head","131.7"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","1991","000 Head","290.7"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","1992","000 Head","285.2"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","1993","000 Head","278.8"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","1994","000 Head","269.1"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","1995","000 Head","269.9"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","1996","000 Head","279.8"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","1997","000 Head","296.6"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","1998","000 Head","309"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","1999","000 Head","307.1"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","2000","000 Head","269"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","2001","000 Head","273.1"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","2002","000 Head","289.4"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","2003","000 Head","277.6"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: 1-2 years","2004","000 Head","272.4"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","1991","000 Head","371"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","1992","000 Head","358"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","1993","000 Head","366.1"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","1994","000 Head","366.6"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","1995","000 Head","369.2"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","1996","000 Head","387.2"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","1997","000 Head","411.1"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","1998","000 Head","410.5"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","1999","000 Head","383.2"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","2000","000 Head","355.7"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","2001","000 Head","405.7"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","2002","000 Head","371.3"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","2003","000 Head","373.7"
"Number of Livestock in June (1991 - 2004)","South-West","Other cattle: under 1 year","2004","000 Head","365.4"
